SCIENTIFIQUE;;;;;;;;;;;;;;;;;;;;;;;;;
1974;Le scientifque Paul Berg  appelle à un moratorium sur la recombination de l’ADN et les recherches autour. ;;;;;;;;;;;;;;;;;;;;;;;;
1993;Francisco Mojica was the first researcher to characterize what is now called a CRISPR locus;;;;;;;;;;;;;;;;;;;;;;;;
1997;Les premières recherches sur le génome humain à buts thérapeutiques ont débuté à la fin des années 1990.;;;;;;;;;;;;;;;;;;;;;;;;
mai 2005;May, 2005 — Alexander Bolotin, French National Institute for Agricultural Research (INRA) découvre l'équivalent de CAS9 ;;;;;;;;;;;;;;;;;;;;;;;;
1er septembre 2012;" Lancement du  projet Genius qui intègre la
thématique de la modification ciblée du génome.
 ( INRA, CIRAD ... )";;;;;;;;;;;;;;;;;;;;;;;;
juin 2012;découverte par l'équipe de la chercheuse française Emmanuelle Charpentier à l'aide de l'américaine Jennifer Doudna. ;;;;;;;;;;;;;;;;;;;;;;;;
2013;le nombre de publications sur CRISPR explose  ;;;;;;;;;;;;;;;;;;;;;;;;
2013;Charpentier a en outre créé CRISPR-Therapeutics avec un siège social en Suisse et des laboratoires aux États-Unis, une jeune pousse (start-up), sur la base de ses brevets, qui travaille sur les thérapies sur l’homme avec CRISPR-Cas9 ;;;;;;;;;;;;;;;;;;;;;;;;
18 avril 2015;des chercheurs de Canton ont publié un article dans Protein & Cell (en) annonçant avoir utilisé la technique CRISPR/Cas9 pour modifier génétiquement des embryons humains21. Selon Junjiu Huang, qui a dirigé ces recherches, cet article aurait été refusé22 par Science et Nature à cause des problèmes éthiques que posent de telles recherches. L'article note une sensitivité et une spécificité insuffisantes de la technique pour qu'elle puisse être utilisée en thérapie génique à ce stade23;;;;;;;;;;;;;;;;;;;;;;;;
mai 2015;Publication rejetée par ailleurs dans les revues scientifiques Nature et Science ;;;;;;;;;;;;;;;;;;;;;;;;
